"States","Region","Population","Births","Deaths","Pop18","Pop65","HSGrad","ColGrad","TeachersPay","InfantMortality","TeenBirths","ViolentCrime","PropertyCrime","DeathPenalty","Executions","Poverty","Unemp","Uninsured","Income","Earnings","Heart","Vehicles","Homeowners"
"Alabama","South",4500.752,59797,47209,25.3,13,79.9,22.7,38246,9.4,54.5,444.2,4020.9,"Yes",28,16.6,37.7,13.3,35412,13.56,289.3,23.1,76.2
"Alaska","West",648.818,9755,3133,30.4,5.7,90.6,24,49685,8.1,39.5,563.4,3746.3,"No",0,7.7,26.8,17.8,56536,12.16,187.7,17.4,70
"Arizona","West",5580.811,88154,44124,26.6,13,83.8,26,40894,6.9,61.2,552.9,5833.4,"Yes",22,14.2,36.9,17.3,41172,14.38,204.5,19.4,67
"Arkansas","South",2725.714,38292,28486,25.4,14,80.9,17.4,37753,8.3,59.9,424.4,3733.1,"Yes",26,15.3,36.3,16.6,34402,13.55,279.1,24.4,69.6
"California","West",35484.453,523578,238007,27.3,10.6,81.1,29.8,56283,5.4,41.1,593.4,3350.3,"Yes",10,13,34.4,18.7,49738,15.05,230.4,11.5,58.9
"Colorado","West",4550.688,67319,30077,25.6,9.7,88.7,36,42679,5.8,47,352.4,3995.4,"Yes",1,9.7,29.1,16.3,48282,16.89,181,17.2,71.3
"Connecticut","Northeast",3483.372,41565,30560,24.7,13.8,87.5,33.5,55367,6.1,25.8,311.1,2686.1,"Yes",0,7.5,31.8,10.4,56543,17.74,216.4,9.4,73
"Delaware","Northeast",817.491,10792,7211,24.8,13,88.7,28.1,50772,10.7,46.3,599,3340,"Yes",13,8.2,30.6,10.1,50025,16.9,257.2,15.2,77.2
"Florida","South",17019.068,211499,171890,22.8,17.6,84.7,25.8,40281,7.3,44.5,770.2,4650.4,"Yes",59,12.8,38.7,17.6,39265,14.09,233.2,18.6,69.5
"Georgia","South",8684.715,135487,66406,26.5,9.6,85.1,25,45533,8.6,55.7,458.8,4048.4,"Yes",36,12.7,31.5,16.4,42069,14.08,268,19.7,71.4
"Hawaii","West",1257.608,18669,9540,24.4,13.3,88.5,27,44464,6.2,38.2,262,5781.7,"No",0,10.1,34.6,9.9,50565,12.9,179.5,10.3,58.3
"Idaho","West",1366.332,20184,10016,28.5,11.3,88.2,22.5,40148,6.2,39.1,254.9,2917.5,"Yes",1,13.8,33.3,17.5,37261,13.72,205.1,19.3,74.4
"Illinois","Midwest",12653.544,182856,109358,26.1,12.1,85.9,28.1,51475,7.7,42.2,620.7,3395.6,"Yes",12,11.6,31.7,14,46528,15.2,251.5,12.7,70.7
"Indiana","Midwest",6195.643,84242,57197,25.9,12.4,86.4,22.2,44966,7.5,44.6,357.2,3392.8,"Yes",11,10.9,32.4,12.9,41906,17.84,258,15.8,74.4
"Iowa","Midwest",2944.062,37174,29015,25.1,14.9,89.7,24.6,39059,5.6,32.5,285.6,3162.6,"No",0,11.2,30.8,9.5,39288,15.7,224,14.9,73.4
