ID,Carrier,FlightNo,Destination,DepartTime,Day,Month,FlightLength,Delay,Delayed30
1,UA,403,DEN,4-8am,Fri,May,281,-1,No
2,UA,405,DEN,8-Noon,Fri,May,277,102,Yes
3,UA,409,DEN,4-8pm,Fri,May,279,4,No
4,UA,511,ORD,8-Noon,Fri,May,158,-2,No
5,UA,667,ORD,4-8am,Fri,May,143,-3,No
6,UA,669,ORD,4-8am,Fri,May,150,0,No
7,UA,673,ORD,8-Noon,Fri,May,158,-5,No
8,UA,677,ORD,8-Noon,Fri,May,160,0,No
9,UA,679,ORD,Noon-4pm,Fri,May,160,10,No
10,UA,681,ORD,Noon-4pm,Fri,May,163,60,Yes
11,UA,683,ORD,Noon-4pm,Fri,May,163,0,No
12,UA,685,ORD,Noon-4pm,Fri,May,160,32,Yes
13,UA,687,ORD,4-8pm,Fri,May,160,0,No
14,UA,689,ORD,4-8pm,Fri,May,160,44,Yes
15,UA,691,ORD,4-8pm,Fri,May,160,52,Yes
16,UA,693,ORD,4-8pm,Fri,May,160,88,Yes
17,UA,695,ORD,8-Mid,Fri,May,160,91,Yes
18,UA,745,DEN,Noon-4pm,Fri,May,277,35,Yes
19,UA,835,ORD,8-Noon,Fri,May,160,-4,No
20,UA,847,IAD,4-8pm,Fri,May,92,-1,No
21,UA,403,DEN,4-8am,Sat,May,281,-9,No
22,UA,405,DEN,8-Noon,Sat,May,274,-4,No
23,UA,511,ORD,8-Noon,Sat,May,160,-8,No
24,UA,669,ORD,4-8am,Sat,May,160,-8,No
25,UA,677,ORD,8-Noon,Sat,May,163,1,No
26,UA,681,ORD,Noon-4pm,Sat,May,160,-6,No
27,UA,683,ORD,Noon-4pm,Sat,May,148,-8,No
28,UA,685,ORD,Noon-4pm,Sat,May,160,14,No
29,UA,689,ORD,4-8pm,Sat,May,163,-17,No
30,UA,691,ORD,4-8pm,Sat,May,163,-4,No
31,UA,745,DEN,Noon-4pm,Sat,May,277,38,Yes
32,UA,835,ORD,8-Noon,Sat,May,158,0,No
33,UA,847,IAD,4-8pm,Sat,May,68,-9,No
34,UA,403,DEN,4-8am,Sun,May,281,1,No
35,UA,405,DEN,8-Noon,Sun,May,257,-3,No
36,UA,409,DEN,4-8pm,Sun,May,279,-5,No
37,UA,511,ORD,8-Noon,Sun,May,144,-6,No
38,UA,673,ORD,8-Noon,Sun,May,148,-3,No
